('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         623404 function calls (602584 primitive calls) in 6.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2734    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      975    0.000    0.000    0.001    0.000 _parser.py:311(_class_escape)
     1852    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      563    0.000    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     2734    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
     2855    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      927    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
     2615    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      155    0.000    0.000    0.004    0.000 _compiler.py:514(_compile_info)
       38    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     2957    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
    52/14    0.000    0.000    0.008    0.001 css_parser.py:911(parse_selectors)
      104    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
      694    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
    234/7    0.000    0.000    0.122    0.017 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     3724    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     2463    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      155    0.000    0.000    0.058    0.000 _compiler.py:743(compile)
      102    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
     3369    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     3932    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      915    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
       10    0.000    0.000    0.002    0.000 enum.py:894(_convert_)
       75    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
     2760    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      590    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
    105/3    0.000    0.000    0.123    0.041 <frozen importlib._bootstrap>:1349(_find_and_load)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
      169    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
     2733    0.000    0.000    0.000    0.000 _lxml.py:401(_prefix_for_namespace)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    0.106    0.106 __init__.py:209(__init__)
       77    0.000    0.000    0.002    0.000 css_parser.py:462(parse_attribute_selector)
      687    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
     76/1    0.000    0.000    6.977    6.977 {built-in method builtins.exec}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     2843    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        9    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
      102    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       89    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      155    0.000    0.000    0.034    0.000 _parser.py:970(parse)
1294/1288    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
      486    0.000    0.000    0.000    0.000 element.py:2160(get)
      690    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      720    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
       96    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      606    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      155    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
      411    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
    105/3    0.000    0.000    0.123    0.041 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      728    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      300    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
     96/4    0.000    0.000    0.123    0.031 <frozen importlib._bootstrap>:911(_load_unlocked)
      399    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      155    0.000    0.000    0.023    0.000 _compiler.py:576(_code)
     1182    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
  651/612    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       10    0.000    0.000    0.000    0.000 request.py:408(add_handler)
      118    0.000    0.000    0.001    0.000 _lxml.py:454(comment)
       75    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       26    0.000    0.000    0.776    0.030 {method 'readline' of '_io.BufferedReader' objects}
  178/147    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      155    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      257    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
     1626    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
     1381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      3/2    0.000    0.000    0.000    0.000 inspect.py:2477(_signature_from_callable)
       93    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
     1691    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       75    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        1    0.000    0.000    0.001    0.001 inspect.py:1329(getfullargspec)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        4    0.000    0.000    0.000    0.000 filter.py:378(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        9    0.000    0.000    0.229    0.025 __init__.py:1(<module>)
      309    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      255    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      496    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    6.977    6.977 financial.py:1(<module>)
        1    0.000    0.000    6.855    6.855 financial.py:21(main)
      652    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       40    0.000    0.000    0.001    0.000 typing.py:753(Union)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      469    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      587    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       96    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x102977600}
      232    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      496    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      135    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        4    0.000    0.000    0.009    0.002 element.py:1079(_find_all)
      261    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
     75/4    0.000    0.000    0.123    0.031 <frozen importlib._bootstrap_external>:1020(exec_module)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
        1    0.000    0.000    0.000    0.000 __init__.py:666(reset)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       85    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.777    0.777 client.py:324(begin)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
       38    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.035    0.035 dammit.py:1(<module>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       71    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
        1    0.000    0.000    5.011    5.011 financial.py:6(find)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      307    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      315    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        4    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      257    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      155    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       93    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      118    0.000    0.000    0.000    0.000 <frozen _collections_abc>:827(items)
        1    0.000    0.000    0.000    0.000 _lxml.py:156(parser_for)
        1    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
        1    0.000    0.000    0.000    0.000 _lxml.py:196(prepare_markup)
      912    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       28    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      217    0.000    0.000    0.059    0.000 __init__.py:287(compile)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
      310    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      644    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      644    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        9    0.000    0.000    0.000    0.000 inspect.py:2726(__init__)
       40    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.048    0.048 client.py:213(_read_headers)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.096    0.096 ssl.py:990(_create)
        3    0.000    0.000    0.009    0.003 filter.py:163(find_all)
      261    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.375    0.375 socket.py:822(create_connection)
      102    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      100    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
        1    0.000    0.000    0.000    0.000 _lxml.py:170(__init__)
    42/30    0.000    0.000    0.006    0.000 css_parser.py:569(parse_pseudo_class)
      247    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      252    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      155    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    1.734    1.734 financial.py:15(getHTML)
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.000    0.000 dammit.py:683(find_declared_encoding)
      178    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.728    0.728 client.py:291(_read_status)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      375    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      153    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.037    0.037 css_parser.py:1(<module>)
      259    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      272    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      135    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
       24    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
  136/131    0.000    0.000    0.000    0.000 css_parser.py:375(_freeze_relations)
       23    0.000    0.000    0.000    0.000 element.py:1873(_all_strings)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        2    0.000    0.000    0.000    0.000 inspect.py:3014(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2307(__init__)
       41    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.478    0.478 client.py:463(read)
        1    0.000    0.000    0.000    0.000 socket.py:782(close)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       29    0.000    0.000    0.000    0.000 element.py:2173(get_attribute_list)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      104    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
      668    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
    40/26    0.000    0.000    0.050    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      257    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      387    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.777    0.777 client.py:1384(getresponse)
        1    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      168    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        4    0.000    0.000    0.009    0.002 element.py:2715(find_all)
        7    0.000    0.000    0.000    0.000 filter.py:224(__init__)
    38/29    0.000    0.000    0.006    0.000 css_parser.py:732(parse_pseudo_open)
       30    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
        7    0.000    0.000    0.000    0.000 message.py:494(get)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      278    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        1    0.000    0.000    0.000    0.000 ssl.py:1252(sendall)
        1    0.000    0.000    0.000    0.000 _lxml.py:447(doctype)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.000    0.000 socket.py:694(__init__)
      224    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 ssl.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:540(__init__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      102    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.081    0.081 element.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:261(__init__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.027    0.027 request.py:1(<module>)
      126    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
   108/90    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      256    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      271    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        1    0.000    0.000    0.001    0.001 client.py:231(_parse_header_lines)
       18    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
        1    0.000    0.000    0.096    0.096 ssl.py:449(wrap_socket)
       95    0.000    0.000    0.000    0.000 enum.py:199(__get__)
